Customer_Index,Local_SHAP_Reason_1,Local_SHAP_Reason_2,Local_SHAP_Reason_3
45,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
46,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
47,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
48,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
49,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.
50,Complaint history increased this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
51,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
52,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
53,Customer tenure increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
54,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
55,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
56,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
57,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
58,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
59,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
60,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
61,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
62,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
63,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
64,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
65,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
66,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.
67,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
68,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
69,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
70,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
71,Customer tenure increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
72,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
73,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
74,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
75,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
76,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
77,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
78,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
79,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
80,Customer tenure increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
81,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
82,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
83,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
84,Customer tenure reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
85,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
86,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
87,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
88,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Delivery distance increased this customer's predicted churn risk.
89,Number of saved addresses reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
90,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
91,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
92,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
93,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
94,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
95,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
96,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
97,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
98,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
99,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
100,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
101,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
102,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
103,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
104,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
105,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
106,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
107,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
108,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
109,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
110,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
111,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
112,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
113,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
114,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
115,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
116,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
117,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
118,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
119,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
120,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
121,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.,Customer tenure increased this customer's predicted churn risk.
122,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
123,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
124,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
125,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
126,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
127,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
128,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
129,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
130,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
131,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
132,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
133,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
134,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
135,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
136,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
137,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
138,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
139,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
140,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
141,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
142,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
143,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
144,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
145,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
146,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
147,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
148,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
149,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
150,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
151,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
152,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
153,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
154,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
155,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
156,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
157,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
158,Customer tenure increased this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
159,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
160,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
161,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
162,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
163,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
164,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
165,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
166,Complaint history increased this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.,Customer satisfaction increased this customer's predicted churn risk.
167,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
168,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
169,Complaint history increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Customer satisfaction increased this customer's predicted churn risk.
170,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
171,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
172,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
173,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
174,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
175,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
176,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Delivery distance reduced this customer's predicted churn risk.
177,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
178,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
179,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
180,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
181,Customer tenure increased this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
182,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
183,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
184,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
185,Complaint history increased this customer's predicted churn risk.,Customer tenure increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
186,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
187,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses reduced this customer's predicted churn risk.
188,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
189,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
190,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
191,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
192,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Number of saved addresses increased this customer's predicted churn risk.
193,Complaint history increased this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.,Cashback behaviour increased this customer's predicted churn risk.
194,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
195,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
196,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
197,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
198,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer satisfaction reduced this customer's predicted churn risk.
199,Complaint history reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
200,Time since last order increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.
201,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
202,Complaint history reduced this customer's predicted churn risk.,Customer tenure reduced this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
203,Customer tenure increased this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
204,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.
205,Customer tenure reduced this customer's predicted churn risk.,Complaint history increased this customer's predicted churn risk.,Time since last order reduced this customer's predicted churn risk.
206,Customer tenure reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.,Time since last order increased this customer's predicted churn risk.
207,Customer tenure reduced this customer's predicted churn risk.,Cashback behaviour reduced this customer's predicted churn risk.,Complaint history reduced this customer's predicted churn risk.
