Customer_Index,Original_Probability,Target_Probability,Feature_To_Change,Current_Value_Scaled,Suggested_Value_Scaled,Status,Counterfactual_Manager_Action
917,0.895,0.425,Tenure,-1.094,5.953,Success,Review customer behaviour and apply suitable retention action.
917,0.895,0.425,Complain,1.603,0.642,Success,Resolve the complaint and follow up with the customer.
928,0.83,0.435,Tenure,-1.094,0.309,Success,Review customer behaviour and apply suitable retention action.
928,0.83,0.435,OrderCount,1.803,3.355,Success,Increase repeat purchases through loyalty rewards or reminder campaigns.
933,0.945,0.33,Tenure,-1.213,2.42,Success,Review customer behaviour and apply suitable retention action.
935,0.99,0.335,Tenure,-1.094,1.487,Success,Review customer behaviour and apply suitable retention action.
935,0.99,0.335,DaySinceLastOrder,-0.972,7.196,Success,Encourage the customer to place a new order sooner through a re-engagement campaign.
962,0.84,0.315,Tenure,-1.213,3.611,Success,Review customer behaviour and apply suitable retention action.
966,0.825,0.165,Tenure,-1.094,5.942,Success,Review customer behaviour and apply suitable retention action.
998,0.885,0.495,Tenure,-0.135,3.491,Success,Review customer behaviour and apply suitable retention action.
998,0.885,0.495,SatisfactionScore,0.674,-0.402,Success,Improve satisfaction through service recovery or personalised support.
1002,0.82,0.3,Tenure,-1.094,2.511,Success,Review customer behaviour and apply suitable retention action.
1002,0.82,0.3,CouponUsed,0.152,1.459,Success,Provide a targeted coupon or promotional incentive.
1014,0.86,0.24,Tenure,-1.213,4.892,Success,Review customer behaviour and apply suitable retention action.
1014,0.86,0.24,DaySinceLastOrder,0.434,4.798,Success,Encourage the customer to place a new order sooner through a re-engagement campaign.
1018,0.87,0.295,Tenure,-1.094,4.03,Success,Review customer behaviour and apply suitable retention action.
1018,0.87,0.295,SatisfactionScore,1.396,-1.401,Success,Improve satisfaction through service recovery or personalised support.
1028,0.725,0.305,Tenure,-1.094,1.759,Success,Review customer behaviour and apply suitable retention action.
1028,0.725,0.305,CouponUsed,0.691,7.664,Success,Provide a targeted coupon or promotional incentive.
1046,0.74,0.2,Tenure,-1.094,2.117,Success,Review customer behaviour and apply suitable retention action.
1046,0.74,0.2,CashbackAmount,-0.358,-3.093,Success,Offer cashback or loyalty reward to encourage retention.
1048,0.87,0.44,Tenure,-1.094,1.806,Success,Review customer behaviour and apply suitable retention action.
1069,0.84,0.33,Tenure,-1.213,0.546,Success,Review customer behaviour and apply suitable retention action.
1069,0.84,0.33,CashbackAmount,0.523,-1.489,Success,Offer cashback or loyalty reward to encourage retention.
1079,0.78,0.26,Tenure,-1.094,1.679,Success,Review customer behaviour and apply suitable retention action.
1079,0.78,0.26,OrderCount,-0.328,0.122,Success,Increase repeat purchases through loyalty rewards or reminder campaigns.
1111,0.82,0.29,Tenure,-1.094,4.683,Success,Review customer behaviour and apply suitable retention action.
1113,0.82,0.29,Tenure,-1.213,3.572,Success,Review customer behaviour and apply suitable retention action.
1113,0.82,0.29,SatisfactionScore,-0.049,0.957,Success,Improve satisfaction through service recovery or personalised support.
1116,0.955,0.335,Tenure,-1.213,5.103,Success,Review customer behaviour and apply suitable retention action.
1116,0.955,0.335,CouponUsed,-0.927,2.637,Success,Provide a targeted coupon or promotional incentive.
